Date,Area,Operation_Cost_KES,Revenue_Collection_KES,Bill_Collection_Rate
2023-03-08,Kibera,58344.88,66232.8,0.86
2023-03-08,South B,48686.3,59268.31,0.89
2023-03-08,Kahawa,54945.27,61707.98,0.9
2023-03-08,Parklands,51965.92,56168.21,0.87
2023-03-09,Westlands,60485.43,67637.72,0.91
2023-03-09,Eastleigh,55956.9,63879.64,0.93
2023-03-09,Karen,39135.38,38573.21,0.94
2023-03-09,Kilimani,46762.87,52012.71,0.94
2023-03-09,Kibera,50998.25,61953.93,0.83
2023-03-09,South B,53079.47,58853.39,0.92
2023-03-09,Kahawa,48691.92,50752.58,0.83
2023-03-09,Parklands,47883.74,50897.31,0.82
2023-03-10,Westlands,55608.59,66536.13,0.87
2023-03-10,Eastleigh,46763.35,49898.27,0.75
2023-03-10,Karen,51898.43,55044.64,0.92
2023-03-10,Kilimani,43109.43,45976.08,0.85
2023-03-10,Kibera,52326.15,63952.57,0.78
2023-03-10,South B,48490.31,49080.39,0.89
2023-03-10,Kahawa,46765.53,51361.89,0.84
2023-03-10,Parklands,50581.43,55378.7,0.8
2023-03-11,Westlands,50424.5,53115.39,0.89
2023-03-11,Eastleigh,50287.07,52168.64,0.97
2023-03-11,Karen,58294.26,73673.78,0.83
2023-03-11,Kilimani,45824.07,53037.81,0.91
2023-03-11,Kibera,50983.64,49365.26,0.8
2023-03-11,South B,52112.52,55348.12,0.78
2023-03-11,Kahawa,48711.72,43546.75,0.82
2023-03-11,Parklands,47869.88,53862.03,0.88
2023-03-12,Westlands,51888.55,60363.05,0.84
2023-03-12,Eastleigh,42722.06,47330.6,0.81
2023-03-12,Karen,43215.56,49379.66,0.78
2023-03-12,Kilimani,53401.05,54522.99,0.84
2023-03-12,Kibera,47179.89,55620.28,0.88
2023-03-12,South B,45878.78,50226.08,0.92
2023-03-12,Kahawa,57465.1,58386.11,0.92
2023-03-12,Parklands,56198.24,62751.51,0.85
2023-03-13,Westlands,47247.82,48359.5,0.87
2023-03-13,Eastleigh,49149.72,55699.89,0.87
2023-03-13,Karen,62589.51,74029.9,0.88
2023-03-13,Kilimani,39315.19,44445.83,0.93
2023-03-13,Kibera,47865.2,59706.77,0.88
2023-03-13,South B,51472.77,53562.57,0.93
2023-03-13,Kahawa,45846.87,48978.93,0.76
2023-03-13,Parklands,54480.77,62282.32,0.85
2023-03-14,Westlands,53701.22,61594.73,0.83
2023-03-14,Eastleigh,46075.81,45776.66,0.84
2023-03-14,Karen,43459.25,48481.99,0.84
2023-03-14,Kilimani,47989.85,56293.22,0.8
2023-03-14,Kibera,40760.09,44442.74,0.81
2023-03-14,South B,50607.85,52916.39,0.87
2023-03-14,Kahawa,45135.6,46988.83,0.88
2023-03-14,Parklands,49767.74,51153.3,0.8
2023-03-15,Westlands,48135.93,49614.06,0.84
2023-03-15,Eastleigh,48736.28,50948.46,0.88
2023-03-15,Karen,44898.09,53247.71,0.84
2023-03-15,Kilimani,46701.71,53242.69,0.85
2023-03-15,Kibera,53799.46,52450.78,0.88
2023-03-15,South B,47403.61,52496.8,0.85
2023-03-15,Kahawa,56733.08,55829.19,0.93
2023-03-15,Parklands,53532.22,59682.48,0.78
2023-03-16,Westlands,41639.66,44493.58,0.88
2023-03-16,Eastleigh,49969.99,57094.99,0.78
2023-03-16,Karen,50222.0,59071.1,0.92
2023-03-16,Kilimani,43730.16,47321.51,0.83
2023-03-16,Kibera,46868.18,54554.79,0.99
2023-03-16,South B,44431.43,50323.48,0.86
2023-03-16,Kahawa,51584.92,61470.9,0.87
2023-03-16,Parklands,39318.51,39774.86,0.8
2023-03-17,Westlands,46257.17,50694.49,0.84
2023-03-17,Eastleigh,40883.01,40900.77,0.74
2023-03-17,Karen,42229.93,49384.77,0.84
2023-03-17,Kilimani,45236.48,44347.93,0.8
2023-03-17,Kibera,53035.91,60244.46,0.84
2023-03-17,South B,48664.81,48171.76,0.81
2023-03-17,Kahawa,52777.9,56004.58,0.93
2023-03-17,Parklands,56027.83,60258.19,0.84
2023-03-18,Westlands,61115.38,70897.97,0.85
2023-03-18,Eastleigh,50928.51,56768.89,0.85
2023-03-18,Karen,44645.11,48165.35,0.78
2023-03-18,Kilimani,53624.05,58792.78,0.89
2023-03-18,Kibera,43627.86,52241.53,0.91
2023-03-18,South B,42127.86,45166.03,0.83
2023-03-18,Kahawa,42810.53,46582.5,0.88
2023-03-18,Parklands,47652.86,47350.86,0.89
2023-03-19,Westlands,46041.52,48822.08,0.93
2023-03-19,Eastleigh,51983.27,54707.77,0.79
2023-03-19,Karen,54829.45,63783.54,0.82
2023-03-19,Kilimani,43704.95,49389.39,0.88
2023-03-19,Kibera,48136.3,49738.97,0.85
2023-03-19,South B,52308.75,56145.0,0.86
2023-03-19,Kahawa,51804.87,61101.52,0.83
2023-03-19,Parklands,44303.72,48761.75,0.93
2023-03-20,Westlands,41184.38,39316.71,0.84
2023-03-20,Eastleigh,48103.62,52503.0,0.84
2023-03-20,Karen,55027.88,60653.94,0.89
2023-03-20,Kilimani,37612.48,40268.39,0.81
2023-03-20,Kibera,38576.74,42886.57,0.84
2023-03-20,South B,47664.76,52279.26,0.86
2023-03-20,Kahawa,55065.49,63147.15,0.87
2023-03-20,Parklands,61536.19,65165.31,0.78
2023-03-21,Westlands,55870.76,68516.8,0.82
2023-03-21,Eastleigh,56889.01,60889.75,0.88
2023-03-21,Karen,53201.36,56605.27,0.94
2023-03-21,Kilimani,59807.91,62117.79,0.86
2023-03-21,Kibera,54572.51,53624.7,0.85
2023-03-21,South B,41734.11,47926.89,0.85
2023-03-21,Kahawa,48131.15,48282.84,0.82
2023-03-21,Parklands,52595.98,57978.5,0.91
2023-03-22,Westlands,55638.79,65405.86,0.82
2023-03-22,Eastleigh,51474.88,53650.19,0.79
2023-03-22,Karen,55909.27,57467.79,0.79
2023-03-22,Kilimani,50525.97,54942.25,0.84
2023-03-22,Kibera,61528.27,64011.53,0.87
2023-03-22,South B,50433.46,59037.77,0.81
2023-03-22,Kahawa,48877.68,54372.48,0.78
2023-03-22,Parklands,40972.25,45218.94,0.92
2023-03-23,Westlands,48238.98,52629.67,0.91
2023-03-23,Eastleigh,49255.92,56915.17,0.98
2023-03-23,Karen,47114.68,51519.5,0.87
2023-03-23,Kilimani,57458.12,63061.25,0.89
2023-03-23,Kibera,51739.43,56929.12,0.83
2023-03-23,South B,46953.92,61240.09,0.77
2023-03-23,Kahawa,42768.55,47939.62,0.86
2023-03-23,Parklands,52131.76,54642.15,0.8
2023-03-24,Westlands,48572.52,56538.16,0.8
2023-03-24,Eastleigh,50755.62,54394.96,0.77
2023-03-24,Karen,43592.96,50749.73,0.82
2023-03-24,Kilimani,56219.04,61985.93,0.78
2023-03-24,Kibera,52385.99,55157.89,0.83
2023-03-24,South B,55663.62,56842.07,0.83
2023-03-24,Kahawa,44582.34,45814.08,0.83
2023-03-24,Parklands,45712.15,49698.07,0.88
2023-03-25,Westlands,46245.7,46688.18,0.88
2023-03-25,Eastleigh,46212.11,56554.61,0.83
2023-03-25,Karen,49320.12,47112.26,0.79
2023-03-25,Kilimani,38604.3,43395.7,0.85
2023-03-25,Kibera,53150.62,61520.86,0.9
2023-03-25,South B,48874.8,54278.0,0.88
2023-03-25,Kahawa,46026.36,48052.86,0.93
2023-03-25,Parklands,40969.18,46602.45,0.87
2023-03-26,Westlands,44383.4,47116.98,0.83
2023-03-26,Eastleigh,51083.36,57614.81,0.85
2023-03-26,Karen,50941.96,58474.46,0.88
2023-03-26,Kilimani,57671.53,67637.39,0.85
2023-03-26,Kibera,53203.41,60255.44,0.86
2023-03-26,South B,45657.01,50932.52,0.75
2023-03-26,Kahawa,55361.63,62435.32,0.84
2023-03-26,Parklands,47896.41,54963.17,0.94
2023-03-27,Westlands,51875.4,63736.51,0.89
2023-03-27,Eastleigh,45972.99,52257.61,0.87
2023-03-27,Karen,45970.04,49578.59,0.83
2023-03-27,Kilimani,50501.13,54884.5,0.86
2023-03-27,Kibera,52153.43,61926.9,0.88
2023-03-27,South B,46490.3,57751.25,0.82
2023-03-27,Kahawa,48062.04,54975.15,0.99
2023-03-27,Parklands,52007.93,55299.88,0.77
2023-03-28,Westlands,41470.88,45854.86,0.88
2023-03-28,Eastleigh,42900.93,48024.51,0.78
2023-03-28,Karen,45377.98,52006.05,0.81
2023-03-28,Kilimani,56550.41,60340.16,0.91
2023-03-28,Kibera,61326.08,64792.88,0.97
2023-03-28,South B,50067.43,53265.89,0.84
2023-03-28,Kahawa,47982.77,57392.98,0.92
2023-03-28,Parklands,56529.84,57690.86,0.86
2023-03-29,Westlands,42251.53,49464.77,0.83
2023-03-29,Eastleigh,52515.39,56316.41,0.76
2023-03-29,Karen,54425.77,63545.1,0.86
2023-03-29,Kilimani,39443.0,45508.27,0.81
2023-03-29,Kibera,52582.88,56427.26,0.83
2023-03-29,South B,52488.09,55198.63,0.84
2023-03-29,Kahawa,52547.99,65465.3,0.85
2023-03-29,Parklands,54197.45,55760.09,0.93
2023-03-30,Westlands,45959.81,50390.68,0.88
2023-03-30,Eastleigh,46100.43,54179.95,0.82
2023-03-30,Karen,54153.12,63597.46,0.88
2023-03-30,Kilimani,53542.15,67972.13,0.87
2023-03-30,Kibera,50549.2,56961.62,0.91
2023-03-30,South B,61646.38,67452.22,0.8
2023-03-30,Kahawa,55812.75,56728.04,0.86
2023-03-30,Parklands,51523.13,56573.58,0.85
2023-03-31,Westlands,41737.53,43764.38,0.9
2023-03-31,Eastleigh,39793.66,43749.56,0.83
2023-03-31,Karen,40037.81,48646.11,0.8
2023-03-31,Kilimani,52744.63,56675.25,0.81
2023-03-31,Kibera,48820.1,52815.39,0.84
2023-03-31,South B,46065.24,47865.98,0.9
2023-03-31,Kahawa,50034.68,55092.16,0.81
2023-03-31,Parklands,57871.99,63619.68,0.76
2023-04-01,Westlands,51379.12,54221.79,0.9
2023-04-01,Eastleigh,55192.16,64298.35,0.83
2023-04-01,Karen,49435.51,55425.08,0.89
2023-04-01,Kilimani,44811.23,49788.54,0.94
2023-04-01,Kibera,47323.03,52211.76,0.98
2023-04-01,South B,48793.82,49036.73,0.85
2023-04-01,Kahawa,58364.65,68501.8,0.8
2023-04-01,Parklands,52076.97,56949.82,0.89
2023-04-02,Westlands,46923.01,53358.21,0.95
2023-04-02,Eastleigh,36938.17,42240.2,0.92
2023-04-02,Karen,42218.32,44673.78,0.83
2023-04-02,Kilimani,46345.45,48784.24,0.83
2023-04-02,Kibera,54258.47,65202.27,0.92
2023-04-02,South B,54969.0,67286.87,0.95
2023-04-02,Kahawa,50830.3,60895.34,0.87
2023-04-02,Parklands,48918.8,53897.03,0.9
2023-04-03,Westlands,57327.96,65510.35,0.83
2023-04-03,Eastleigh,47552.61,46817.28,0.87
2023-04-03,Karen,51464.46,53373.72,0.87
2023-04-03,Kilimani,52281.67,52729.13,0.83
2023-04-03,Kibera,57045.23,60687.18,0.85
2023-04-03,South B,50802.28,56049.56,0.88
2023-04-03,Kahawa,54676.11,64911.36,0.83
2023-04-03,Parklands,52619.33,61016.79,0.84
2023-04-04,Westlands,46404.19,51709.7,0.82
2023-04-04,Eastleigh,46478.86,52024.19,0.84
2023-04-04,Karen,50877.61,51089.78,0.84
2023-04-04,Kilimani,38698.68,40132.25,0.85
2023-04-04,Kibera,56065.61,63908.93,0.85
2023-04-04,South B,48116.28,52384.74,0.92
2023-04-04,Kahawa,44468.26,47040.3,0.9
2023-04-04,Parklands,48280.36,59435.09,0.88
2023-04-05,Westlands,55774.79,55737.65,0.9
2023-04-05,Eastleigh,45753.05,52685.77,0.83
2023-04-05,Karen,51114.02,52805.64,0.76
2023-04-05,Kilimani,50752.78,55112.6,0.81
2023-04-05,Kibera,41589.75,38725.11,0.88
2023-04-05,South B,48724.68,51928.26,0.86
2023-04-05,Kahawa,55072.02,61819.55,0.83
2023-04-05,Parklands,60662.44,64525.19,0.78
2023-04-06,Westlands,50499.08,54962.62,0.9
2023-04-06,Eastleigh,47368.56,51833.75,0.81
2023-04-06,Karen,54038.29,60216.6,0.84
2023-04-06,Kilimani,49250.05,54353.08,0.78
2023-04-06,Kibera,55813.54,65679.25,0.85
2023-04-06,South B,49669.05,51666.6,0.94
2023-04-06,Kahawa,57427.27,64929.32,0.89
2023-04-06,Parklands,56152.4,65798.58,0.81
2023-04-07,Westlands,48444.37,55005.28,0.86
2023-04-07,Eastleigh,53765.3,61660.31,0.86
2023-04-07,Karen,36981.32,43683.6,0.89
2023-04-07,Kilimani,60346.07,64809.43,0.76
2023-04-07,Kibera,49097.76,55710.45,0.83
2023-04-07,South B,56858.97,60389.39,0.84
2023-04-07,Kahawa,48770.05,62685.62,0.8
2023-04-07,Parklands,52918.66,54343.31,0.87
2023-04-08,Westlands,45227.66,53210.18,0.9
2023-04-08,Eastleigh,51357.6,52105.22,0.85
2023-04-08,Karen,48479.31,56186.34,0.8
2023-04-08,Kilimani,55775.31,65138.87,0.78
2023-04-08,Kibera,48901.98,53873.52,0.9
2023-04-08,South B,46565.9,52083.69,0.9
2023-04-08,Kahawa,51256.35,50450.3,0.83
2023-04-08,Parklands,54521.16,63007.89,0.74
2023-04-09,Westlands,51003.69,59495.31,0.88
2023-04-09,Eastleigh,53267.87,66001.59,0.85
2023-04-09,Karen,51523.88,53787.47,0.82
2023-04-09,Kilimani,48340.13,56085.77,0.81
2023-04-09,Kibera,56173.12,58079.87,0.88
2023-04-09,South B,52760.33,59183.17,0.9
2023-04-09,Kahawa,46287.29,49745.04,0.8
2023-04-09,Parklands,50045.06,54909.63,0.89
2023-04-10,Westlands,51934.06,59714.41,0.84
2023-04-10,Eastleigh,52028.37,63621.74,0.78
2023-04-10,Karen,40804.53,46778.28,0.81
2023-04-10,Kilimani,43091.34,49111.38,0.8
2023-04-10,Kibera,57695.28,64340.08,0.84
2023-04-10,South B,45892.1,51352.67,0.77
2023-04-10,Kahawa,37658.55,37808.43,0.91
2023-04-10,Parklands,45379.3,45912.84,0.85
2023-04-11,Westlands,61123.44,71879.52,0.81
2023-04-11,Eastleigh,45907.68,48352.86,0.8
2023-04-11,Karen,52718.97,57103.25,0.79
2023-04-11,Kilimani,43318.66,54346.17,0.89
2023-04-11,Kibera,45719.55,54122.96,0.79
2023-04-11,South B,49314.45,53702.12,0.86
2023-04-11,Kahawa,45289.49,50423.14,0.76
2023-04-11,Parklands,48116.34,57344.57,0.9
2023-04-12,Westlands,46519.93,46790.4,0.74
2023-04-12,Eastleigh,53087.35,59622.16,0.87
2023-04-12,Karen,58453.01,65171.49,0.86
2023-04-12,Kilimani,43013.1,52069.76,0.84
2023-04-12,Kibera,45915.62,51357.11,0.95
2023-04-12,South B,60676.0,63219.78,0.91
2023-04-12,Kahawa,51678.66,60422.35,0.86
2023-04-12,Parklands,53074.42,63205.53,0.76
2023-04-13,Westlands,51801.87,53303.18,0.83
2023-04-13,Eastleigh,50004.86,51979.59,0.82
2023-04-13,Karen,42996.42,45852.96,0.88
2023-04-13,Kilimani,54327.26,57314.74,0.92
2023-04-13,Kibera,52886.92,63367.54,0.76
2023-04-13,South B,51556.25,59017.93,0.76
2023-04-13,Kahawa,62071.24,66020.42,0.88
2023-04-13,Parklands,54633.72,60729.58,0.92
2023-04-14,Westlands,59976.07,61947.79,0.86
2023-04-14,Eastleigh,54578.38,54515.75,0.9
2023-04-14,Karen,58532.68,69563.32,0.87
2023-04-14,Kilimani,57697.3,65096.07,0.78
2023-04-14,Kibera,47390.53,51579.11,0.85
2023-04-14,South B,49528.85,53640.43,0.86
2023-04-14,Kahawa,57521.18,64361.45,0.88
2023-04-14,Parklands,39030.39,43448.18,0.9
2023-04-15,Westlands,56234.25,66324.46,0.87
2023-04-15,Eastleigh,52069.68,55260.15,0.89
2023-04-15,Karen,46663.03,53627.87,0.85
2023-04-15,Kilimani,50074.71,58591.45,0.88
2023-04-15,Kibera,51412.99,55148.03,0.93
2023-04-15,South B,51664.82,59599.51,0.85
2023-04-15,Kahawa,46531.34,52490.67,0.82
2023-04-15,Parklands,52188.89,46591.91,0.83
2023-04-16,Westlands,49928.26,52073.28,0.87
2023-04-16,Eastleigh,47888.88,52898.82,0.82
2023-04-16,Karen,54859.55,62566.67,0.86
2023-04-16,Kilimani,50309.95,63868.04,0.84
2023-04-16,Kibera,46515.57,47852.94,0.9
2023-04-16,South B,58156.09,61056.71,0.84
2023-04-16,Kahawa,48202.85,52875.33,0.76
2023-04-16,Parklands,54033.63,63887.52,0.75
2023-04-17,Westlands,58789.68,71143.74,0.7
2023-04-17,Eastleigh,39133.41,42904.29,0.92
2023-04-17,Karen,51448.85,56922.5,0.88
2023-04-17,Kilimani,45959.53,54601.22,0.84
2023-04-17,Kibera,41834.86,44064.4,0.87
2023-04-17,South B,48551.6,52408.44,0.86
2023-04-17,Kahawa,51793.12,53089.26,0.91
2023-04-17,Parklands,49344.39,55871.65,0.85
2023-04-18,Westlands,47949.42,55825.44,0.85
2023-04-18,Eastleigh,50366.59,47507.52,0.89
2023-04-18,Karen,49147.33,56719.49,0.93
2023-04-18,Kilimani,54116.83,59989.58,0.84
2023-04-18,Kibera,62628.62,71172.41,0.86
2023-04-18,South B,49085.3,51378.75,0.75
2023-04-18,Kahawa,57605.88,60736.19,0.84
2023-04-18,Parklands,49469.71,59272.23,0.81
2023-04-19,Westlands,51286.74,58379.22,0.78
2023-04-19,Eastleigh,42607.68,45101.24,0.86
2023-04-19,Karen,50582.45,55502.08,0.88
2023-04-19,Kilimani,45716.02,50009.42,0.84
2023-04-19,Kibera,45851.06,57525.21,0.74
2023-04-19,South B,56203.4,65027.6,0.89
2023-04-19,Kahawa,50479.24,60155.24,0.83
2023-04-19,Parklands,51962.2,57665.46,0.84
2023-04-20,Westlands,50609.26,52802.19,0.82
2023-04-20,Eastleigh,57901.57,74826.42,0.88
2023-04-20,Karen,54167.79,60742.79,0.87
2023-04-20,Kilimani,52718.96,61802.59,0.93
2023-04-20,Kibera,45577.93,58741.15,0.86
2023-04-20,South B,50692.98,54655.19,0.83
2023-04-20,Kahawa,53081.85,60853.84,0.88
2023-04-20,Parklands,47725.82,44357.48,0.76
2023-04-21,Westlands,50066.44,56416.48,0.83
2023-04-21,Eastleigh,46535.49,52319.15,0.84
2023-04-21,Karen,47617.54,47617.16,0.81
2023-04-21,Kilimani,54662.96,56982.25,0.88
2023-04-21,Kibera,56932.02,59982.49,0.83
2023-04-21,South B,54936.75,65107.41,0.82
2023-04-21,Kahawa,41893.36,49709.28,0.88
2023-04-21,Parklands,52003.15,60558.37,0.79
2023-04-22,Westlands,51956.0,56447.99,0.88
2023-04-22,Eastleigh,53995.19,63092.08,0.88
2023-04-22,Karen,51253.42,57581.7,0.87
2023-04-22,Kilimani,46878.47,50671.77,0.87
2023-04-22,Kibera,53252.4,56590.55,0.8
2023-04-22,South B,41623.5,42581.39,0.82
2023-04-22,Kahawa,47766.92,51904.29,0.79
2023-04-22,Parklands,40937.29,45572.48,0.86
2023-04-23,Westlands,53106.68,61496.34,0.87
2023-04-23,Eastleigh,50573.34,58763.2,0.92
2023-04-23,Karen,46616.62,53845.32,0.82
2023-04-23,Kilimani,51095.17,60012.31,0.84
2023-04-23,Kibera,45239.62,48639.43,0.8
2023-04-23,South B,44628.94,52815.1,0.88
2023-04-23,Kahawa,46402.23,48305.4,0.8
2023-04-23,Parklands,46401.37,54750.03,0.84
2023-04-24,Westlands,60658.07,66870.49,0.82
2023-04-24,Eastleigh,54638.85,54444.37,0.86
2023-04-24,Karen,43939.13,42320.48,0.84
2023-04-24,Kilimani,54173.88,60615.44,0.85
2023-04-24,Kibera,37006.09,40518.99,0.84
2023-04-24,South B,53106.31,55029.9,0.89
2023-04-24,Kahawa,47453.11,51512.51,0.88
2023-04-24,Parklands,44052.87,51038.49,0.78
2023-04-25,Westlands,53275.88,58054.42,0.84
2023-04-25,Eastleigh,34674.31,36983.64,0.84
2023-04-25,Karen,57743.12,63671.33,0.82
2023-04-25,Kilimani,54168.29,58077.31,0.9
2023-04-25,Kibera,51306.75,53693.99,0.9
2023-04-25,South B,53005.18,61656.74,0.84
2023-04-25,Kahawa,53005.66,65188.04,0.86
2023-04-25,Parklands,48006.79,57865.33,0.88
2023-04-26,Westlands,47747.57,58146.18,0.79
2023-04-26,Eastleigh,52645.82,62096.89,0.9
2023-04-26,Karen,45500.15,46608.7,0.86
2023-04-26,Kilimani,53523.74,55393.47,0.87
2023-04-26,Kibera,42712.57,50142.63,0.82
2023-04-26,South B,49179.87,57106.71,0.89
2023-04-26,Kahawa,52369.73,61372.94,0.87
2023-04-26,Parklands,57237.66,56882.74,0.85
2023-04-27,Westlands,49489.67,53981.69,0.87
2023-04-27,Eastleigh,51069.98,59170.36,0.79
2023-04-27,Karen,61461.06,66352.55,0.86
2023-04-27,Kilimani,48968.79,54368.55,0.82
2023-04-27,Kibera,51029.02,58311.18,0.73
2023-04-27,South B,48357.26,52282.53,0.97
2023-04-27,Kahawa,54300.36,65296.39,0.88
2023-04-27,Parklands,50411.79,56898.28,0.91
2023-04-28,Westlands,58750.59,66072.87,0.82
2023-04-28,Eastleigh,54622.87,57329.09,0.87
2023-04-28,Karen,53406.57,58639.08,0.8
2023-04-28,Kilimani,47727.24,51756.98,0.8
2023-04-28,Kibera,48069.52,48580.13,0.88
2023-04-28,South B,51666.7,57984.01,0.83
2023-04-28,Kahawa,48739.75,51231.26,0.88
2023-04-28,Parklands,43210.8,47983.2,0.82
2023-04-29,Westlands,58786.55,66972.04,0.85
2023-04-29,Eastleigh,44469.88,45197.91,0.87
2023-04-29,Karen,58993.98,66756.52,0.86
2023-04-29,Kilimani,50948.73,56639.51,0.86
2023-04-29,Kibera,46574.2,48517.19,0.86
2023-04-29,South B,57467.09,66403.62,0.79
2023-04-29,Kahawa,48724.05,56148.86,0.93
2023-04-29,Parklands,58956.44,64339.36,0.89
2023-04-30,Westlands,51246.36,56228.41,0.85
2023-04-30,Eastleigh,50373.13,59510.09,0.78
2023-04-30,Karen,52340.73,63073.83,0.92
2023-04-30,Kilimani,52844.87,55793.17,0.89
2023-04-30,Kibera,56624.7,60674.27,0.87
2023-04-30,South B,48973.65,52161.39,0.83
2023-04-30,Kahawa,50642.65,52937.51,0.8
2023-04-30,Parklands,45551.97,51305.8,0.78
2023-05-01,Westlands,38915.1,46472.91,0.8
2023-05-01,Eastleigh,49029.95,57117.39,0.78
2023-05-01,Karen,42802.79,45537.12,0.9
2023-05-01,Kilimani,49891.77,55104.21,0.84
2023-05-01,Kibera,52810.67,63270.89,1.0
2023-05-01,South B,49259.57,59317.72,0.9
2023-05-01,Kahawa,51334.97,49350.9,0.83
2023-05-01,Parklands,48308.68,54507.75,0.84
2023-05-02,Westlands,47184.01,58364.29,0.92
2023-05-02,Eastleigh,39885.88,43345.16,0.88
2023-05-02,Karen,56654.53,61056.68,0.84
2023-05-02,Kilimani,50473.92,57945.08,0.77
2023-05-02,Kibera,39923.11,47370.6,0.8
2023-05-02,South B,60613.3,63575.34,0.84
2023-05-02,Kahawa,51843.0,50102.26,0.99
2023-05-02,Parklands,48025.02,50450.12,0.79
2023-05-03,Westlands,51808.77,58228.16,0.79
2023-05-03,Eastleigh,43140.29,50629.09,0.82
2023-05-03,Karen,41394.92,45343.38,0.83
2023-05-03,Kilimani,59750.15,63995.88,0.83
2023-05-03,Kibera,51097.28,54566.46,0.87
2023-05-03,South B,44915.64,48933.1,0.87
2023-05-03,Kahawa,55688.19,59413.61,0.82
2023-05-03,Parklands,57706.16,61695.48,0.85
2023-05-04,Westlands,58563.76,64969.75,0.84
2023-05-04,Eastleigh,49134.2,51928.49,0.87
2023-05-04,Karen,45379.89,52441.14,0.85
2023-05-04,Kilimani,51177.37,62304.89,0.78
2023-05-04,Kibera,50122.11,57463.76,0.82
2023-05-04,South B,54755.58,58566.32,0.86
2023-05-04,Kahawa,49382.53,55087.0,0.85
2023-05-04,Parklands,49840.17,53539.54,0.82
2023-05-05,Westlands,51579.93,57172.53,0.82
2023-05-05,Eastleigh,51716.92,55592.28,0.93
2023-05-05,Karen,62445.9,74640.84,0.92
2023-05-05,Kilimani,54070.84,59010.8,0.76
2023-05-05,Kibera,44874.97,47612.88,0.91
2023-05-05,South B,51280.66,54466.78,0.76
2023-05-05,Kahawa,61590.73,70192.83,0.9
2023-05-05,Parklands,47321.7,51864.12,0.83
2023-05-06,Westlands,50321.68,61642.86,0.79
2023-05-06,Eastleigh,49793.68,56190.02,0.84
2023-05-06,Karen,54976.62,54546.88,0.94
2023-05-06,Kilimani,43147.4,44508.4,0.83
2023-05-06,Kibera,46762.07,52962.38,0.87
2023-05-06,South B,50567.78,51216.96,0.84
2023-05-06,Kahawa,50098.66,59371.82,0.86
2023-05-06,Parklands,51913.29,63986.35,0.79
2023-05-07,Westlands,48059.46,49557.46,0.93
2023-05-07,Eastleigh,58374.22,70303.23,0.88
2023-05-07,Karen,51902.51,55806.99,0.89
2023-05-07,Kilimani,43593.16,44529.95,0.83
2023-05-07,Kibera,59435.01,63692.06,0.83
2023-05-07,South B,51438.86,59844.48,0.91
2023-05-07,Kahawa,44398.12,48780.93,0.86
2023-05-07,Parklands,51623.83,59949.54,0.89
2023-05-08,Westlands,50127.47,59145.64,0.9
2023-05-08,Eastleigh,54441.91,58287.0,0.89
2023-05-08,Karen,56017.84,60028.7,0.86
2023-05-08,Kilimani,57823.73,65385.45,0.85
2023-05-08,Kibera,57308.02,61572.74,0.77
2023-05-08,South B,46104.16,54349.46,0.88
2023-05-08,Kahawa,50340.56,59098.48,0.86
2023-05-08,Parklands,48888.31,56675.38,0.83
2023-05-09,Westlands,52451.23,55249.11,0.8
2023-05-09,Eastleigh,45671.36,50389.48,0.82
2023-05-09,Karen,46900.63,51357.42,0.85
2023-05-09,Kilimani,42244.74,39754.1,0.87
2023-05-09,Kibera,50696.11,51503.93,0.87
2023-05-09,South B,52172.26,56625.49,0.95
2023-05-09,Kahawa,56346.06,60800.8,0.83
2023-05-09,Parklands,42710.6,50595.28,0.86
2023-05-10,Westlands,54115.3,52291.25,0.89
2023-05-10,Eastleigh,47451.77,54236.41,0.88
2023-05-10,Karen,49896.77,52874.27,0.87
2023-05-10,Kilimani,45820.44,53760.54,0.81
2023-05-10,Kibera,50113.72,52946.32,0.86
2023-05-10,South B,44841.2,47191.13,0.96
2023-05-10,Kahawa,54221.09,61216.38,0.88
2023-05-10,Parklands,51528.2,56640.94,0.89
2023-05-11,Westlands,45865.08,55437.57,0.86
2023-05-11,Eastleigh,54008.53,65202.87,0.87
2023-05-11,Karen,45947.56,54414.33,0.93
2023-05-11,Kilimani,40267.39,44228.82,0.86
2023-05-11,Kibera,48679.73,49848.71,0.81
2023-05-11,South B,40754.38,47563.7,0.92
2023-05-11,Kahawa,56798.14,62652.78,0.86
2023-05-11,Parklands,55349.62,60323.47,0.8
2023-05-12,Westlands,47146.42,52634.76,0.81
2023-05-12,Eastleigh,52366.48,53252.43,0.84
2023-05-12,Karen,52027.75,57938.79,0.81
2023-05-12,Kilimani,53675.24,60226.93,0.75
2023-05-12,Kibera,52276.59,56331.01,0.82
2023-05-12,South B,45850.37,47675.36,0.86
2023-05-12,Kahawa,52730.13,58791.79,0.9
2023-05-12,Parklands,52907.02,51560.41,0.8
2023-05-13,Westlands,55942.1,57200.24,0.71
2023-05-13,Eastleigh,59157.25,66509.3,0.82
2023-05-13,Karen,45758.0,52434.62,0.87
2023-05-13,Kilimani,51636.01,56424.29,0.79
2023-05-13,Kibera,49820.18,58500.57,0.82
2023-05-13,South B,53005.34,57176.81,0.89
2023-05-13,Kahawa,45100.27,49875.92,0.87
2023-05-13,Parklands,46622.75,52617.03,0.85
2023-05-14,Westlands,49779.22,52813.07,0.9
2023-05-14,Eastleigh,45274.35,50851.46,0.81
